,ACCESS-ESM1-5,CESM2,CNRM-ESM2-1,GFDL-ESM4,MPI-ESM1-2-LR,NorESM2-LM,UKESM,UVic-ESCM-2-10
89,17.07,16.7545,16.0595124359698,15.67,15.88,16.2,290.28437,289.11334228515625
90,17.08,17.0153,16.2853181818328,15.7,15.97,16.36,290.53569,289.1473083496094
91,17.11,16.9205,16.4506231245176,15.74,15.9,16.37,290.57217,289.18157958984375
92,17.03,16.7554,16.2840242616553,15.88,16.08,16.28,290.44595,289.21484375
93,17.23,17.0466,16.4585978020808,15.72,16.25,16.4,290.48731,289.24835205078125
94,17.3,17.0121,16.5877705628495,15.61,16.16,16.46,290.68272,289.2830810546875
95,17.3,16.9843,16.4481701180346,15.82,16.15,16.7,290.85449,289.3165283203125
96,17.4,17.1135,16.7066128103234,15.85,16.15,16.61,290.59163,289.351806640625
97,17.31,17.0681,16.4795119049306,15.81,16.07,16.57,290.52773,289.3868713378906
98,17.41,17.133,16.6720491447039,15.93,16.33,16.76,290.74155,289.42218017578125
99,17.48,17.0551,16.9167825926798,16.04,16.36,16.78,290.78675,289.45806884765625
100,17.58,17.1705,16.7861317321949,15.86,16.23,16.38,291.0548,289.4945068359375
101,17.48,17.2313,16.854963962442,15.99,16.41,16.49,290.97052,289.53021240234375
102,17.5,17.3361,16.8263762710766,16.2,16.46,16.84,291.05063,289.5667724609375
103,17.46,17.3195,17.0752509886584,16.17,16.58,16.81,291.17111,289.6025390625
104,17.53,17.4473,17.0927657439969,15.93,16.71,16.73,291.04029,289.6388854980469
105,17.58,17.5836,17.1229549219241,15.97,16.55,16.75,291.07387,289.6746826171875
106,17.63,17.572,17.1418966082749,16.17,16.55,17.01,291.27487,289.7123107910156
107,17.7,17.7189,17.2922574427323,16.33,16.57,16.81,291.53507,289.7495422363281
108,17.68,17.9087,17.2533549504937,16.12,16.54,16.57,291.50328,289.787109375
109,17.92,17.7732,17.3364782490663,16.16,16.7,16.65,291.48955,289.8255920410156
110,17.88,17.8519,17.3272683511025,16.23,16.74,16.93,291.7304,289.8654479980469
111,17.69,17.9209,17.5616319693708,16.33,16.91,17.05,291.61718,289.90374755859375
112,17.89,17.9202,17.6172821586323,16.43,16.78,16.98,291.47554,289.9407043457031
113,17.7,18.018,17.5018088997938,16.37,16.7,16.97,291.55326,289.9784851074219
114,17.92,18.0585,17.5726153178699,16.31,16.68,17.08,291.73466,290.01495361328125
115,18.04,18.0367,17.6206202651357,16.41,16.58,17.05,291.8411,290.0515441894531
