Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L;UVic-ESCM-2-10
120.0;288.05657933901443;288.58;289.61;289.524468632;15.52;288.93116252;288.1212;288.73445;289.39574;288.4113464355469
121.0;287.80453541376824;288.74;289.50;289.554233625;15.34;288.92421303;288.1426;288.719458;289.6192;288.41082763671875
122.0;287.94997508427866;288.99;289.49;289.471244478;15.38;288.88900023;288.2653;288.838868;289.41103;288.412353515625
123.0;288.078339459145;288.65;289.63;289.516011166;15.46;288.72163836;288.0531;288.696064;289.17746;288.4102478027344
124.0;287.85500128759105;288.46;289.47;289.362620541;15.38;288.80300221;287.9276;288.72041;289.23059;288.4106750488281
125.0;287.9257206328928;288.59;289.44;289.373760511;15.32;288.76470638;287.9889;288.555253;289.52538;288.4115905761719
126.0;288.05804108920165;288.79;289.61;289.409771262;15.29;288.69388101;287.9721;288.627586;289.40459;288.4112854003906
127.0;287.6151598786655;288.87;289.69;289.353996224;15.38;288.85244547;287.975;288.712534;289.13356;288.41259765625
128.0;287.7838088780234;289.02;289.73;289.457708699;15.38;288.82698129;288.2318;288.800269;288.9816;288.4109191894531
129.0;288.06481900149834;288.9;289.68;289.503617421;15.44;288.68764993;288.2762;288.804011;289.08078;288.410400390625
130.0;288.21481423573954;288.8;289.57;289.411055114;15.39;288.6775004;288.1623;288.690106;289.45955;288.41143798828125
131.0;287.80816533336906;288.99;289.47;289.460571823;15.43;288.64280309;287.9212;288.792793;289.5176;288.41217041015625
132.0;287.79768551343113;288.92;289.46;289.417492541;15.46;288.75925794;288.0186;288.772313;289.41773;288.412841796875
133.0;287.97021885702054;288.77;289.54;289.452000976;15.23;288.70552908;288.0546;288.71924;289.27991000000003;288.41253662109375
134.0;287.9868186637147;288.81;289.32;289.215408866;15.29;288.6546891;287.9257;288.912812;289.12359;288.41278076171875
